size,cores,L3s,time
10000,4,1,60.549769
10000,4,1,60.823020
10000,4,1,60.629683
10000,4,1,60.678118
10000,4,1,60.618758
10000,8,2,16.259374
10000,8,2,16.093814
10000,8,2,16.018599
10000,8,2,16.082639
10000,8,2,16.072131
10000,12,3,10.625430
10000,12,3,10.610946
10000,12,3,10.590162
10000,12,3,10.581164
10000,12,3,10.595318
10000,16,4,7.988471
10000,16,4,8.185692
10000,16,4,7.976060
10000,16,4,7.972646
10000,16,4,7.982045
10000,20,5,6.430635
10000,20,5,6.460880
10000,20,5,6.404379
10000,20,5,6.521933
10000,20,5,6.419184
10000,24,6,5.374840
10000,24,6,5.359165
10000,24,6,5.489036
10000,24,6,5.433575
10000,24,6,5.336409
10000,28,7,4.706533
10000,28,7,4.750893
10000,28,7,4.626443
10000,28,7,4.639486
10000,28,7,4.735264
10000,32,8,4.053632
10000,32,8,4.151014
10000,32,8,4.054599
10000,32,8,4.163130
10000,32,8,4.083477
10000,36,9,3.623180
10000,36,9,3.622684
10000,36,9,3.616485
10000,36,9,3.626509
10000,36,9,3.697410
10000,40,10,3.269043
10000,40,10,3.278413
10000,40,10,3.319022
10000,40,10,3.272450
10000,40,10,3.287965
10000,44,11,3.086454
10000,44,11,2.982354
10000,44,11,3.005999
10000,44,11,3.018146
10000,44,11,2.996014
10000,48,12,2.832869
10000,48,12,2.774951
10000,48,12,2.854897
10000,48,12,2.828395
10000,48,12,2.748123
10000,52,13,2.575985
10000,52,13,2.709034
10000,52,13,2.575726
10000,52,13,2.710589
10000,52,13,2.696980
10000,56,14,2.505462
10000,56,14,2.529787
10000,56,14,2.533063
10000,56,14,2.537601
10000,56,14,2.546387
10000,60,15,2.432568
10000,60,15,2.321827
10000,60,15,2.269671
10000,60,15,2.278686
10000,60,15,2.286248
10000,64,16,2.120982
10000,64,16,2.130603
10000,64,16,2.133040
10000,64,16,2.165925
10000,64,16,2.142127
10000,68,17,3.758472
10000,68,17,3.743013
10000,68,17,3.720815
10000,68,17,3.756938
10000,68,17,3.730983
10000,72,18,6.613974
10000,72,18,6.644943
10000,72,18,6.544363
10000,72,18,6.541679
10000,72,18,6.579043
10000,76,19,7.800057
10000,76,19,7.847880
10000,76,19,7.692214
10000,76,19,8.038468
10000,76,19,7.742588
10000,80,20,9.512470
10000,80,20,9.564684
10000,80,20,9.573045
10000,80,20,9.504201
10000,80,20,9.567751
10000,84,21,10.738629
10000,84,21,10.656534
10000,84,21,10.611905
10000,84,21,10.817710
10000,84,21,10.810159
10000,88,22,12.085768
10000,88,22,11.904361
10000,88,22,11.905789
10000,88,22,11.993515
10000,88,22,11.956943
10000,92,23,12.734955
10000,92,23,12.593274
10000,92,23,12.737727
10000,92,23,12.547713
10000,92,23,12.678574
10000,96,24,13.972581
10000,96,24,13.884851
10000,96,24,14.157269
10000,96,24,13.958295
10000,96,24,14.036685
10000,100,25,14.758716
10000,100,25,14.883168
10000,100,25,14.857186
10000,100,25,14.893727
10000,100,25,14.839860
10000,104,26,15.794099
10000,104,26,15.919081
10000,104,26,15.934783
10000,104,26,16.051170
10000,104,26,15.899027
10000,108,27,16.734009
10000,108,27,16.767884
10000,108,27,16.673228
10000,108,27,16.699399
10000,108,27,16.828385
10000,112,28,17.581656
10000,112,28,17.636391
10000,112,28,17.801727
10000,112,28,17.875160
10000,112,28,17.755453
10000,116,29,18.585337
10000,116,29,18.559501
10000,116,29,18.389707
10000,116,29,18.474985
10000,116,29,18.598344
10000,120,30,19.851562
10000,120,30,19.938116
10000,120,30,19.671379
10000,120,30,19.615262
10000,120,30,19.582450
10000,124,31,20.600012
10000,124,31,20.536663
10000,124,31,20.563023
10000,124,31,20.376131
10000,124,31,20.547016
10000,128,32,21.324831
10000,128,32,21.303883
10000,128,32,21.274864
10000,128,32,21.277076
10000,128,32,20.944582
