cores,m,k,n,time,GFLOPS
1,10000,10000,10000,28.922638,69.149986
1,10000,10000,10000,28.910175,69.179795
1,10000,10000,10000,28.903776,69.195112
1,10000,10000,10000,28.896837,69.211728
1,10000,10000,10000,28.905343,69.191360
1,10000,10000,10000,28.894547,69.217212
1,10000,10000,10000,28.906141,69.189449
1,10000,10000,10000,28.898579,69.207555
1,10000,10000,10000,28.902976,69.197026
1,10000,10000,10000,28.901040,69.201663
2,10000,10000,10000,14.813660,135.010523
2,10000,10000,10000,14.807275,135.068745
2,10000,10000,10000,14.802067,135.116262
2,10000,10000,10000,14.803193,135.105985
2,10000,10000,10000,15.128760,132.198544
2,10000,10000,10000,14.803893,135.099600
2,10000,10000,10000,14.951668,133.764341
2,10000,10000,10000,14.801709,135.119536
2,10000,10000,10000,14.805986,135.080505
2,10000,10000,10000,14.802447,135.112793
3,10000,10000,10000,9.807432,203.926974
3,10000,10000,10000,9.778532,204.529669
3,10000,10000,10000,9.853440,202.974796
3,10000,10000,10000,9.779233,204.515019
3,10000,10000,10000,9.779689,204.505476
3,10000,10000,10000,9.777930,204.542275
3,10000,10000,10000,9.778814,204.523775
3,10000,10000,10000,9.850535,203.034666
3,10000,10000,10000,9.777106,204.559500
3,10000,10000,10000,9.778053,204.539693
4,10000,10000,10000,7.378174,271.069777
4,10000,10000,10000,7.377718,271.086516
4,10000,10000,10000,7.374897,271.190219
4,10000,10000,10000,7.376020,271.148932
4,10000,10000,10000,7.374455,271.206467
4,10000,10000,10000,7.379723,271.012875
4,10000,10000,10000,7.373216,271.252073
4,10000,10000,10000,7.377951,271.077962
4,10000,10000,10000,7.375893,271.153621
4,10000,10000,10000,7.370418,271.355033
5,10000,10000,10000,6.170131,324.142236
5,10000,10000,10000,6.369779,313.982616
5,10000,10000,10000,6.279913,318.475752
5,10000,10000,10000,6.329342,315.988606
5,10000,10000,10000,6.358654,314.531957
5,10000,10000,10000,6.249000,320.051233
5,10000,10000,10000,6.168576,324.223957
5,10000,10000,10000,6.221868,321.446883
5,10000,10000,10000,6.304411,317.238208
5,10000,10000,10000,6.155218,324.927569
6,10000,10000,10000,4.890056,408.993230
6,10000,10000,10000,4.892151,408.818111
6,10000,10000,10000,4.872362,410.478513
6,10000,10000,10000,4.872316,410.482375
6,10000,10000,10000,4.871959,410.512517
6,10000,10000,10000,4.895047,408.576300
6,10000,10000,10000,4.901053,408.075554
6,10000,10000,10000,4.891403,408.880629
6,10000,10000,10000,4.867469,410.891145
6,10000,10000,10000,4.893832,408.677684
7,10000,10000,10000,4.312156,463.805097
7,10000,10000,10000,4.458217,448.609849
7,10000,10000,10000,4.292688,465.908560
7,10000,10000,10000,4.295161,465.640301
7,10000,10000,10000,4.313217,463.691074
7,10000,10000,10000,4.254796,470.057757
7,10000,10000,10000,4.304567,464.622796
7,10000,10000,10000,4.297940,465.339182
7,10000,10000,10000,4.276886,467.629998
7,10000,10000,10000,4.279027,467.396022
8,10000,10000,10000,3.803769,525.794306
8,10000,10000,10000,3.772692,530.125405
8,10000,10000,10000,3.768682,530.689500
8,10000,10000,10000,3.795241,526.975714
8,10000,10000,10000,3.748144,533.597393
8,10000,10000,10000,3.781718,528.860175
8,10000,10000,10000,3.801651,526.087194
8,10000,10000,10000,3.779026,529.236963
8,10000,10000,10000,3.851046,519.339459
8,10000,10000,10000,3.762890,531.506368
9,10000,10000,10000,3.353972,596.307863
9,10000,10000,10000,3.353673,596.361135
9,10000,10000,10000,3.354966,596.131189
9,10000,10000,10000,3.353570,596.379450
9,10000,10000,10000,3.337100,599.322801
9,10000,10000,10000,3.358085,595.577624
9,10000,10000,10000,3.326488,601.234708
9,10000,10000,10000,3.361247,595.017300
9,10000,10000,10000,3.377652,592.127226
9,10000,10000,10000,3.346927,597.563069
10,10000,10000,10000,3.024738,661.214210
10,10000,10000,10000,3.036143,658.730403
10,10000,10000,10000,3.079718,649.410078
10,10000,10000,10000,3.022815,661.634944
10,10000,10000,10000,3.030556,659.944985
10,10000,10000,10000,3.065054,652.517017
10,10000,10000,10000,3.017095,662.889244
10,10000,10000,10000,3.015970,663.136643
10,10000,10000,10000,3.010066,664.437194
10,10000,10000,10000,3.014442,663.472637
11,10000,10000,10000,2.778308,719.862620
11,10000,10000,10000,2.726563,733.524313
11,10000,10000,10000,2.704484,739.512472
11,10000,10000,10000,2.704821,739.420582
11,10000,10000,10000,2.714704,736.728482
11,10000,10000,10000,2.706862,738.863012
11,10000,10000,10000,2.707625,738.654785
11,10000,10000,10000,2.723792,734.270429
11,10000,10000,10000,2.747890,727.831244
11,10000,10000,10000,2.707822,738.601043
12,10000,10000,10000,2.482944,805.495392
12,10000,10000,10000,2.503693,798.819972
12,10000,10000,10000,2.479458,806.627835
12,10000,10000,10000,2.483404,805.346306
12,10000,10000,10000,2.476571,807.568274
12,10000,10000,10000,2.478807,806.839706
12,10000,10000,10000,2.486402,804.375199
12,10000,10000,10000,2.480510,806.285698
12,10000,10000,10000,2.481698,805.899849
12,10000,10000,10000,2.477779,807.174602
