m,k,n,time,GFLOPS
2000,2000,2000,0.027037,591.782836
2000,2000,2000,0.026205,610.565492
2000,2000,2000,0.026456,604.771846
2000,2000,2000,0.026582,601.904388
2000,2000,2000,0.026343,607.372000
2000,2000,2000,0.026297,608.442752
2000,2000,2000,0.026628,600.867901
2000,2000,2000,0.026610,601.272609
2000,2000,2000,0.026069,613.762347
2000,2000,2000,0.026705,599.133421
3000,3000,3000,0.075455,715.654536
3000,3000,3000,0.075145,718.611069
3000,3000,3000,0.075151,718.555244
3000,3000,3000,0.075298,717.146331
3000,3000,3000,0.075055,719.474937
3000,3000,3000,0.075680,713.526177
3000,3000,3000,0.075294,717.188021
3000,3000,3000,0.075214,717.954643
3000,3000,3000,0.075434,715.857495
3000,3000,3000,0.075338,716.771651
4000,4000,4000,0.163329,783.696051
4000,4000,4000,0.162969,785.423767
4000,4000,4000,0.162813,786.176018
4000,4000,4000,0.163422,783.249864
4000,4000,4000,0.163178,784.421622
4000,4000,4000,0.163232,784.161328
4000,4000,4000,0.162779,786.343518
4000,4000,4000,0.163617,782.312793
4000,4000,4000,0.162995,785.298216
4000,4000,4000,0.163218,784.226014
5000,5000,5000,0.314052,796.047630
5000,5000,5000,0.313953,796.298306
5000,5000,5000,0.313816,796.645729
5000,5000,5000,0.314285,795.457596
5000,5000,5000,0.314223,795.614385
5000,5000,5000,0.313667,797.023775
5000,5000,5000,0.313727,796.870225
5000,5000,5000,0.313737,796.846586
5000,5000,5000,0.313876,796.493296
5000,5000,5000,0.313587,797.227498
6000,6000,6000,0.529803,815.398135
6000,6000,6000,0.529425,815.979124
6000,6000,6000,0.529640,815.647871
6000,6000,6000,0.529119,816.451492
6000,6000,6000,0.529567,815.761078
6000,6000,6000,0.528721,817.065504
6000,6000,6000,0.528633,817.201732
6000,6000,6000,0.529119,816.451789
6000,6000,6000,0.528631,817.204785
6000,6000,6000,0.528891,816.803674
7000,7000,7000,0.844656,812.164875
7000,7000,7000,0.844835,811.992431
7000,7000,7000,0.845803,811.063177
7000,7000,7000,0.845520,811.335499
7000,7000,7000,0.845047,811.789057
7000,7000,7000,0.845551,811.305731
7000,7000,7000,0.845044,811.792059
7000,7000,7000,0.845080,811.757719
7000,7000,7000,0.845777,811.088181
7000,7000,7000,0.845348,811.500119
8000,8000,8000,1.246670,821.388249
8000,8000,8000,1.247580,820.788966
8000,8000,8000,1.247141,821.078129
8000,8000,8000,1.247168,821.059904
8000,8000,8000,1.246786,821.311843
8000,8000,8000,1.247112,821.097154
8000,8000,8000,1.246664,821.392430
8000,8000,8000,1.247260,820.999339
8000,8000,8000,1.246815,821.292945
8000,8000,8000,1.246468,821.521175
9000,9000,9000,1.767616,824.839664
9000,9000,9000,1.767338,824.969389
9000,9000,9000,1.767099,825.081305
9000,9000,9000,1.766845,825.199811
9000,9000,9000,1.765313,825.915804
9000,9000,9000,1.766266,825.470204
9000,9000,9000,1.765709,825.730811
9000,9000,9000,1.766616,825.306882
9000,9000,9000,1.767820,824.744386
9000,9000,9000,1.765535,825.812122
10000,10000,10000,2.436227,820.941454
10000,10000,10000,2.436632,820.804948
10000,10000,10000,2.436699,820.782686
10000,10000,10000,2.436993,820.683435
10000,10000,10000,2.436521,820.842517
10000,10000,10000,2.438309,820.240646
10000,10000,10000,2.436851,820.731435
10000,10000,10000,2.436696,820.783693
10000,10000,10000,2.435380,821.227072
10000,10000,10000,2.437998,820.345078
11000,11000,11000,3.237165,822.324485
11000,11000,11000,3.238570,821.967832
11000,11000,11000,3.236062,822.604652
11000,11000,11000,3.235440,822.762929
11000,11000,11000,3.238482,821.989983
11000,11000,11000,3.238782,821.913939
11000,11000,11000,3.237167,822.323961
11000,11000,11000,3.240456,821.489384
11000,11000,11000,3.236747,822.430738
11000,11000,11000,3.240383,821.507934
12000,12000,12000,4.185840,825.640748
12000,12000,12000,4.183223,826.157289
12000,12000,12000,4.184948,825.816802
12000,12000,12000,4.183442,826.114031
12000,12000,12000,4.190025,824.816018
12000,12000,12000,4.182598,826.280750
12000,12000,12000,4.184258,825.952952
12000,12000,12000,4.185739,825.660648
12000,12000,12000,4.185331,825.741141
12000,12000,12000,4.183514,826.099809
13000,13000,13000,5.313256,826.988257
13000,13000,13000,5.314661,826.769495
13000,13000,13000,5.316284,826.517140
13000,13000,13000,5.312388,827.123300
13000,13000,13000,5.309514,827.571052
13000,13000,13000,5.310404,827.432264
13000,13000,13000,5.312525,827.101987
13000,13000,13000,5.312088,827.169967
13000,13000,13000,5.310452,827.424848
13000,13000,13000,5.314989,826.718480
14000,14000,14000,6.635170,827.107681
14000,14000,14000,6.632917,827.388616
14000,14000,14000,6.633301,827.340747
14000,14000,14000,6.634519,827.188850
14000,14000,14000,6.632180,827.480496
14000,14000,14000,6.631275,827.593514
14000,14000,14000,6.626904,828.139401
14000,14000,14000,6.634461,827.196030
14000,14000,14000,6.632389,827.454532
14000,14000,14000,6.630897,827.640651
15000,15000,15000,8.174190,825.769875
15000,15000,15000,8.174556,825.732921
15000,15000,15000,8.176868,825.499440
15000,15000,15000,8.174532,825.735326
15000,15000,15000,8.176565,825.530039
15000,15000,15000,8.174105,825.778468
15000,15000,15000,8.174298,825.759021
15000,15000,15000,8.173670,825.822475
15000,15000,15000,8.174815,825.706726
15000,15000,15000,8.173531,825.836494
16000,16000,16000,9.934571,824.595279
16000,16000,16000,9.937895,824.319423
16000,16000,16000,9.936876,824.403982
16000,16000,16000,9.935575,824.511904
16000,16000,16000,9.934328,824.615446
16000,16000,16000,9.937474,824.354325
16000,16000,16000,9.935369,824.529017
16000,16000,16000,9.935340,824.531428
16000,16000,16000,9.934847,824.572320
16000,16000,16000,9.938909,824.235349
17000,17000,17000,11.912183,824.869796
17000,17000,17000,11.917373,824.510582
17000,17000,17000,11.912026,824.880648
17000,17000,17000,11.914498,824.709558
17000,17000,17000,11.910385,824.994350
17000,17000,17000,11.914368,824.718522
17000,17000,17000,11.914276,824.724876
17000,17000,17000,11.909594,825.049123
17000,17000,17000,11.915856,824.615535
17000,17000,17000,11.912025,824.880730
18000,18000,18000,14.034865,831.073180
18000,18000,18000,14.029033,831.418674
18000,18000,18000,14.027440,831.513101
18000,18000,18000,14.026305,831.580389
18000,18000,18000,14.025617,831.621160
18000,18000,18000,14.031841,831.252273
18000,18000,18000,14.025660,831.618641
18000,18000,18000,14.028147,831.471158
18000,18000,18000,14.028106,831.473616
18000,18000,18000,14.024339,831.696955
19000,19000,19000,16.524262,830.173217
19000,19000,19000,16.521976,830.288119
19000,19000,19000,16.518108,830.482514
19000,19000,19000,16.525355,830.118338
19000,19000,19000,16.523573,830.207849
19000,19000,19000,16.519645,830.405255
19000,19000,19000,16.523352,830.218968
19000,19000,19000,16.521542,830.309929
19000,19000,19000,16.524418,830.165393
19000,19000,19000,16.521798,830.297061
20000,20000,20000,19.293144,829.310124
20000,20000,20000,19.294413,829.255601
20000,20000,20000,19.294940,829.232964
20000,20000,20000,19.295074,829.227204
20000,20000,20000,19.293782,829.282735
20000,20000,20000,19.297168,829.137222
20000,20000,20000,19.300875,828.977958
20000,20000,20000,19.299530,829.035735
20000,20000,20000,19.294561,829.249248
20000,20000,20000,19.297097,829.140240
